question,answer
"તમારું નામ શું છે?","મારું નામ AURA છે."
"આજે હવામાન કેવું છે?","હું હમણાં હવામાન સીધું ચકાસી શકતો નથી, પણ તમે બહાર જઈને જોઈ શકો છો."
"શું તમે મને મદદ કરી શકો છો?","હા, ચોક્કસ! તમને કોની મદદની જરૂર છે?"
"હું વર્ગમાં કેવી રીતે ધ્યાન કેન્દ્રિત કરી શકું?","જ્ઞાનાત્મક ભારને નિયંત્રિત કરીને વર્ગમાં ધ્યાન કેન્દ્રિત રાખો - દરેક મુખ્ય મુદ્દાને ૫-૭ શબ્દોમાં સારાંશ આપો જેથી ફક્ત આવશ્યક માહિતી કાર્યકારી મેમરીમાં રહે. દર ૨૦-૩૦ સેકન્ડે શિક્ષક અથવા બોર્ડ પર તમારી નજર ફરીથી કેન્દ્રિત કરીને ધ્યાન રાખો. જ્યારે ધ્યાન ભટકાય, ત્યારે મનમાં આવેલા છેલ્લા વિચારને યાદ કરીને ઝડપી માઇક્રો-પુનઃપ્રાપ્તિ કરો. છેલ્લે, ઉત્તેજના નિયંત્રણ કરો: વિક્ષેપોને શાંત કરો અને પાઠ સાથે સંરેખિત રહેવા માટે માળખાગત નોંધ લેવાથી હાથ વ્યસ્ત રાખો."
"તમે શું કરી શકો છો?","હું વિદ્યાર્થીઓને શાળામાં નેવિગેટ કરવામાં મદદ કરી શકું છું, લોકો સાથે વાતચીત કરી શકું છું અને શિક્ષકોને સાધન-શોધ સહાયક તરીકે મદદ કરી શકું છું. હું વિદ્યાર્થીઓની રુચિ પ્રમાણે વિષયો અને ક્લબ સૂચવી શકું છું. હું ચહેરાઓ ઓળખી શકું છું અને પ્રશ્નોના જવાબ આપી શકું છું."
"શું તમે મને નજીકની પ્રાથમિક સારવાર કીટ માટે માર્ગદર્શન આપી શકો છો?","પ્રથમ માળે સ્ટાફ રૂમની નજીક આવેલા શિક્ષકનો સંપર્ક કરો, તેઓ મદદ કરશે."
"આ બોટનો ઉપયોગ શે માટે થાય છે?","વિદ્યાર્થીઓને માર્ગદર્શન આપવા, પ્રી-સ્કૂલ બાળકો સાથે વાતચીત કરવા અને શિક્ષકોને સાધનો શોધવામાં મદદ કરવા માટે. તે રુચિ અનુસાર વિષયો અને કોર્સની સલાહ આપી શકે છે."
"આ શાળા કઈ સુવિધાઓ પ્રદાન કરે છે?","આધુનિક હાઈ-ટેક વર્ગખંડો, રોબોટિક્સ માટેનું નવીનતા કેન્દ્ર, સાયન્સ અને કમ્પ્યુટર લેબ્સ, આધુનિક લાઇબ્રેરી, ઑડિયો-વિઝ્યુઅલ રૂમ, ઓડિટોરિયમ, બહુહેતુક રમતનું મેદાન, ઈન-હાઉસ કોચેસ અને ડિજિટલ રેકોર્ડિંગ સુવિધા."
"શાળાના વિવિધ ધોરણોના સમય શું છે?","માધ્યમિક: ૭:૩૦ થી ૧:૦૦. પ્રાથમિક: ૧:૦૦ થી ૬:૦૦."
"શૌચાલય ક્યાં છે?","દરેક માળે ચાર શૌચાલય છે."
"ઐક્યમમાં કઈ પ્રવૃત્તિઓ સામેલ છે?","સાહિત્યિક કલા, પ્રદર્શન કલા, દ્રશ્ય કલા, ઑનલાઇન કાર્યક્રમો, રમતગમત અને ગેમિંગ, તથા અનૌપચારિક કાર્યક્રમો. વધુ માહિતી માટે: https://aikyam.ppsijc.org/events"
"આચાર્યની કેબિન ક્યાં છે?","આચાર્યની કેબિન ગ્રાઉન્ડ ફ્લોર પર છે."
"પરીક્ષા અને માતાપિતાના દબાણથી થતા તણાવનો સામનો કેવી રીતે કરવો?","કામને નાના ભાગોમાં વહેંચો, નિયંત્રિત શ્વાસ લો, ૩૦-૪૦ મિનિટના ધ્યાન કેન્દ્રિત અભ્યાસ સત્ર કરો, દબાણને ડર નહીં પરંતુ તૈયારી માનો, અને દરેક અભ્યાસ સત્ર પછી માતાપિતાને માહિતી આપો. હળવો વ્યાયામ અને રાત્રે ટૂંકું પ્રતિબિંબ તણાવ ઘટાડે છે."
"શાળામાં કઈ સુવિધાઓ છે?","પુસ્તકાલય, ઑડિયો-વિઝ્યુઅલ રૂમ, તાલીમ કેન્દ્ર/કોન્ફરન્સ રૂમ, રમતનું મેદાન, ઓડિટોરિયમ, વાલી ચર્ચા ખંડ, નવીનતા કેન્દ્ર, સ્ટાફ રૂમ, ૩ આઈ-સી-ટી લેબ્સ, ૩ સાયન્સ લેબ્સ."
"ઘરો અને તેમના સૂત્ર શું છે?","બ્લૂબેલ્સ – સંપૂર્ણ પ્રયાસ એ સંપૂર્ણ વિજય. ડેફોડિલ્સ – તમારો ભાગ ભજવો. ગુલાબ – પ્રયત્ન દ્વારા શ્રેષ્ઠતા. શેમરોક્સ – ક્યારેય હાર ન માનવી."
"પરીક્ષાઓ સામાન્ય રીતે ક્યારે થાય છે?","સપ્ટેમ્બર અને માર્ચ મહિનામાં."
"શાળાની સ્થાપના ક્યારે થઈ?","૧૯૮૨ વર્ષે."
"અહીં કયા ધોરણો ભણાવવામાં આવે છે?","ઈ-વાય ૧ થી ઈ-વાય ૪, ધોરણ ૧ થી ૧૦, અને એ-લેવલ્સ."
"મુખ્ય કાર્યાલય ક્યાં છે?","ગ્રાઉન્ડ ફ્લોર પર, આચાર્યની કેબિન પાસે."
"શાળાનું સૂત્ર અને મિશન શું છે?","સૂત્ર: જ્ઞાન એ શક્તિ. મિશન: વિદ્યાર્થીઓની વ્યક્તિગત, સર્જનાત્મક, શારીરિક અને નૈતિક ક્ષમતાઓ વિકસાવીને તેમને સક્ષમ અને દયાળુ વ્યક્તિ બનાવવું."
"નવીનતા કેન્દ્ર ક્યાં છે?","ચોથો માળ."
"ઓડિટોરિયમ ક્યાં છે?","ચોથો માળ."
"સ્ટાફ રૂમ ક્યાં છે?","પ્રથમ માળ."
"કઈ રમતો ઉપલબ્ધ છે?","માર્શલ આર્ટ્સ, એથ્લેટિક્સ, સ્કેટિંગ, જિમ્નાસ્ટિક્સ, ટેબલ ટેનિસ, બાસ્કેટબોલ, ક્રિકેટ, હેન્ડબોલ અને થ્રોબોલ."
"શું ખોવાયેલું અને મળેલું વિભાગ છે?","હા."
"વિદ્યાર્થી પરિષદમાં કેવી રીતે જોડાઈ શકાય?","વધુ માહિતી માટે કાઉન્સેલરને સંપર્ક કરો."
